DISEASE.TRAIT,Grouping1,Grouping2,Theme1,Theme2,Theme3,Theme4,Theme5,Theme6,n
Breast cancer specific mortality in breast cancer,Breast,-,Mortality,-,-,-,-,-,47
Breast cancer specific mortality in estrogen receptor negative breast cancer,Breast,ER negative,Mortality,-,-,-,-,-,28
Breast cancer specific mortality in estrogen receptor positive breast cancer,Breast,ER positive,Mortality,-,-,-,-,-,22
Metastasis in stage I-III microsatellite instability low/stable colorectal cancer (time to event),Colorectal,-,Survival time,Metastasis,Microsatellite instability,-,-,-,26
Severe skin toxicity response to cetuximab in colorectal cancer,Colorectal,-,Chemotherapy,Adverse effects,Skin toxicity,Cetuximab,-,-,8
Ovarian cancer,Ovarian,-,-,-,-,-,-,-,56
Nevus count or cutaneous melanoma,Melanoma,Cutaneous,Nevus count,-,-,-,-,-,30
Cervical cancer,Cervical,-,-,-,-,-,-,-,39
BRCA1/2-negative high-risk breast cancer,Breast,-,BRCA Neg,-,-,-,-,-,19
Gastric cancer,Gastric,-,-,-,-,-,-,-,20
Response to opioid analgesics in cancer (pain decrease),Cancer,-,Treatment response,Chemotherapy,-,-,-,-,2
Response to tamoxifen in oestrogen receptor positive/HER2 negative breast cancer,Breast,-,Treatment response,-,-,-,-,-,2
Glioblastoma (age-stratified),Glioblastoma,-,-,-,-,-,-,-,20
Lung cancer,Lung,-,-,-,-,-,-,-,183
Lung cancer in ever smokers,Lung,-,Interaction,Smoking,-,-,-,-,112
Lung cancer (SNP x SNP interaction),Lung,-,Interaction,SNPxSNP,-,-,-,-,26
Endometrial cancer,Endometrial,-,-,-,-,-,-,-,51
Endometrial cancer (endometrioid histology),Endometrial,Endometrioid,-,-,-,-,-,-,32
Endometrial cancer (Non-endometrioid histology),Endometrial,Non-endometrioid,-,-,-,-,-,-,7
Lung cancer x radon exposure interaction (1df),Lung,-,Interaction,Radon exposure,-,-,-,-,3
Mucinous adenocarcinoma in colorectal cancer,Colorectal,Mucinous,Adenocarcinoma,-,-,-,-,-,17
Familial lung cancer,Lung,-,Familial,-,-,-,-,-,20
Colorectal cancer,Colorectal,-,-,-,-,-,-,-,338
Prostate cancer (advanced),Prostate,-,Advanced,-,-,-,-,-,18
Prostate cancer (early onset),Prostate,-,Early onset,-,-,-,-,-,20
Prostate cancer,Prostate,-,-,-,-,-,-,-,449
Neuropathic pain in head and neck cancer,Head + Neck,-,Symptom,Neuropathic pain,-,-,-,-,4
Hepatocellular carcinoma in hepatitis B infection,Liver,Hepatocellular carcinoma,Infection,Hepatitis B,-,-,-,-,11
Non-glioblastoma glioma,Glioma,Non-glioblastoma,-,-,-,-,-,-,41
Non-melanoma skin cancer,Skin,Non-melanoma,-,-,-,-,-,-,86
Breast cancer and/or colorectal cancer,Breast,Colorectal,-,-,-,-,-,-,18
Endometriosis or endometrial cancer (pleiotropy),Endometrial,-,Endometriosis,Pleiotropy,-,-,-,-,8
Esophageal adenocarcinoma x smoking interaction,Head + Neck,Esophageal adenocarcinoma,Interaction,Smoking,-,-,-,-,2
Esophageal adenocarcinoma x pack-years of smoking exposure interaction,Head + Neck,Esophageal adenocarcinoma,Interaction,Smoking,-,-,-,-,1
Esophageal adenocarcinoma x gastroesophageal reflux disease interaction,Head + Neck,Esophageal adenocarcinoma,Interaction,Gastroesophageal reflux disease,-,-,-,-,3
Premature menopause in childhood cancer survivors,Childhood,-,Adverse effect,Premature menopause,-,-,-,-,8
Survival in breast cancer (estrogen-receptor positive),Breast,ER positive,Survival,-,-,-,-,-,2
Survival in endocrine treated breast cancer (estrogen-receptor positive),Breast,ER positive,Survival,Treatment response,Endocrine,-,-,-,2
Pancreatic cancer,Pancreatic,-,-,-,-,-,-,-,101
Carboplatin disposition in epthelial ovarian cancer,Ovarian,Epithelial,Chemotherapy,Disposition,Carboplatin,-,-,-,18
Paclitaxel disposition in epithelial ovarian cancer,Ovarian,Epithelial,Chemotherapy,Disposition,Paclitaxel,-,-,-,31
Cancer,Cancer,-,-,-,-,-,-,-,43
Taxane-induced peripheral neuropathy in breast cancer,Breast,-,Chemotherapy,Adverse effects,Peripheral neuropathy,Taxane,-,-,3
Colorectal adenoma (advanced),Colorectal,Advanced adenoma,-,-,-,-,-,-,30
Breast cancer,Breast,-,-,-,-,-,-,-,1200
Breast cancer in childhood cancer survivors,Breast,Childhood,-,-,-,-,-,-,5
Breast cancer in childhood cancer survivors treated with less than 10 gray radiotherapy,Breast,Childhood,Radiotherapy,Adverse effect,Cancer,-,-,-,3
Breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy,Breast,Childhood,Radiotherapy,Adverse effect,Cancer,-,-,-,3
Breast Cancer in BRCA1 mutation carriers,Breast,-,BRCA1,-,-,-,-,-,16
Breast cancer (estrogen-receptor negative),Breast,ER negative,-,-,-,-,-,-,73
Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin,Ovarian,Serous,Treatment response,Chemotherapy,Chemotherapy,"Paclitaxel, Cisplatin",-,-,10
Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel,Ovarian,Serous,-,-,-,-,-,-,4
Neuroblastoma (11q deletion),Neuroblastoma,-,11q deletion,-,-,-,-,-,1
Neuroblastoma (1p deletion),Neuroblastoma,-,1q deletion,-,-,-,-,-,1
Neuroblastoma (MYCN amplification),Neuroblastoma,-,MCYN amplification,-,-,-,-,-,2
Hepatocellular carcinoma in hepatitis C infection,Liver,Hepatocellular carcinoma,Infection,Hepatitis C,-,-,-,-,1
Breast cancer (estrogen-receptor positive),Breast,ER positive,-,-,-,-,-,-,3
Breast cancer (progesterone-receptor positive),Breast,PR positive,-,-,-,-,-,-,1
Uveal melanoma,Melanoma,Uveal,-,-,-,-,-,-,2
Cholangiocarcinoma in primary sclerosing cholangitis,Cholangiocarcinoma,-,Primary sclerosing cholangitis,-,-,-,-,-,1
Colorectal carcinoma in primary sclerosing cholangitis,Colorectal,Carcinoma,Primary sclerosing cholangitis,-,-,-,-,-,1
Cholangiocarcinoma in primary sclerosing cholangitis (time to event),Cholangiocarcinoma,-,Primary sclerosing cholangitis,-,-,-,-,-,3
Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer,Breast,HER2 positive,Treatment response,Chemotherapy,"Paclitaxel, Trastuzumab",-,-,-,6
Differentiated thyroid cancer,Thyroid,-,Differentiated,-,-,-,-,-,10
Papillary thyroid cancer,Thyroid,Papillary,-,-,-,-,-,-,9
HER2 status in breast cancer,Breast,-,HER2 Status,-,-,-,-,-,1
Lung cancer in never smokers,Lung,-,Interaction,Non-Smoking,-,-,-,-,23
Survival in pancreatic cancer,Pancreatic,-,Survival,-,-,-,-,-,61
Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer,Breast,-,ER Pos,PR Pos,Early stage,Estrone,-,-,2
Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer,Breast,ER positive,Early stage,Estrone,-,-,-,-,1
Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer,Breast,Receptor positive,Early stage,Estrone,Androestenedione,-,-,-,14
Plasma estrone levels in resected estrogen-receptor positive breast cancer,Breast,-,ER Pos,PR Pos,Early stage,Estrone,-,-,2
Plasma androstenedione levels in resected early stage-receptor positive breast cancer,Breast,-,ER Pos,PR Pos,Early stage,Androestenedione,-,-,5
Ovarian clear cell cancer,Ovarian,Clear cell,-,-,-,-,-,-,2
Endometrioid ovarian cancer,Ovarian,Endometrioid,-,-,-,-,-,-,1
Low-grade serous ovarian cancer,Ovarian,Serous,Low Grade,-,-,-,-,-,1
Ovarian cancer in BRCA2 mutation carriers,Ovarian,-,BRCA2,-,-,-,-,-,2
Ovarian cancer in BRCA1 mutation carriers,Ovarian,-,BRCA1,-,-,-,-,-,11
Epithelial ovarian cancer,Ovarian,Epithelial,-,-,-,-,-,-,50
Serous invasive ovarian cancer,Ovarian,Serous,Invasive,-,-,-,-,-,21
Serous borderline ovarian cancer,Ovarian,Serous,Borderline,-,-,-,-,-,10
High-grade serous ovarian cancer,Ovarian,Serous,High Grade,-,-,-,-,-,21
Invasive epithelial ovarian cancer,Ovarian,Epithelial,Invasive,-,-,-,-,-,19
Low-grade serous and serous borderline ovarian cancer,Ovarian,Serous,Low Grade,Borderline,-,-,-,-,12
Colon cancer,Colorectal,Colon,-,-,-,-,-,-,2
Gallbladder cancer,Gallbladder,-,-,-,-,-,-,-,7
Melanoma,Melanoma,-,-,-,-,-,-,-,55
Thyroid cancer,Thyroid cancer,-,-,-,-,-,-,-,22
Hepatocellular carcinoma in post hepatitis C eradication by interferon therapy,Liver,Hepatocellular carcinoma,Infection,Post Hepatitis C,Interferon therapy,-,-,-,1
Response to platinum-based neoadjuvant chemotherapy in cervical cancer,Cervical,-,Treatment response,Chemotherapy,Platinum,Neoadjuvant,-,-,3
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",B-cell,Leukemia,Lymphoma,Myeloma,Pleiotropy,-,-,-,20
Multiple keratinocyte cancers,Skin,Non-melanoma,Keratinocyte,-,-,-,-,-,17
Body mass index (change over time) in cancer,Cancer,-,BMI,-,-,-,-,-,1
Body mass index (change over time) in lung cancer,Lung,-,BMI,-,-,-,-,-,3
Body mass index (change over time) in gastrointestinal cancer,Gastric,Colorectal,BMI,-,-,-,-,-,3
Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease,Gastric,Colorectal,BMI,COPD,-,-,-,-,4
Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease,Lung,-,BMI,COPD,-,-,-,-,5
Body mass index (change over time) in cancer or chronic obstructive pulmonary disease,Cancer,-,BMI,COPD,-,-,-,-,3
Estrogen receptor status in breast cancer,Breast,-,ER Status,-,-,-,-,-,1
Estrogen receptor status in HER2 negative breast cancer,Breast,HER2 negative,ER Status,-,-,-,-,-,1
Breast cancer-free interval (treatment with aromatase inhibitor),Breast,-,Chemoprevention,Disease free survival time,Aromatase inhibitor,-,-,-,1
Oral cavity and pharyngeal cancer,Head + Neck,-,Oral cavity,Pharyngeal,-,-,-,-,10
Oral cavity cancer,Head + Neck,-,Oral cavity,-,-,-,-,-,9
Oropharynx cancer,Head + Neck,-,Oropharynx,-,-,-,-,-,17
Colorectal cancer (alcohol consumption interaction),Colorectal,-,Interaction,Alcohol,-,-,-,-,2
Response to radiotherapy in prostate cancer (overall toxicity),Prostate,-,Treatment response,Radiotherapy,-,-,-,-,16
"Response to radiotherapy in prostate cancer (toxicity, urinary frequency)",Prostate,-,Treatment response,Radiotherapy,Adverse effects,Toxicity,Urinary frequency,-,11
"Response to radiotherapy in prostate cancer (toxicity, decreased urine stream)",Prostate,-,Treatment response,Radiotherapy,Adverse effects,Toxicity,Decreased Urine Stream,-,8
