DISEASE.TRAIT,Cancer Class,Cancer Subtype,Special Class,Topic Class,n
Adverse response to chemotherapy in breast cancer (alopecia),Breast,,,Adverse Treatment Effect,3
Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule),Breast,,,Adverse Treatment Effect,7
Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5FU),Breast,,,Adverse Treatment Effect,8
Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+epirubicin+/-5FU),Breast,,,Adverse Treatment Effect,3
Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel),Breast,,,Adverse Treatment Effect,4
Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel),Breast,,,Adverse Treatment Effect,5
Anthracycline-induced cardiotoxicity in childhood cancer,None,,,Adverse Treatment Effect,2
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",Multiple,,Pleiotropy,Cancer risk,20
Bladder cancer,Bladder,,,Cancer risk,32
Bladder cancer (smoking interaction),Bladder,,,Cancer risk modified by lifestyle,5
Body mass index (change over time) in cancer,None,,,Effect of cancer on non-cancer trait,1
Body mass index (change over time) in cancer or chronic obstructive pulmonary disease,None,,,Effect of cancer on non-cancer trait,3
Body mass index (change over time) in gastrointestinal cancer,Gastrointestinal,,,Effect of cancer on non-cancer trait,3
Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease,Gastrointestinal,,,Effect of cancer on non-cancer trait,4
Body mass index (change over time) in lung cancer,Lung,,,Effect of cancer on non-cancer trait,3
Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease,Lung,,,Effect of cancer on non-cancer trait,5
BRCA1/2-negative high-risk breast cancer,Breast,,BRCAX,Cancer risk,19
Breast cancer,Breast,,,Cancer risk,1200
Breast cancer-free interval (treatment with aromatase inhibitor),Breast,,Disease-free survival,Chemoprevention,1
Breast cancer (early onset),Breast,,Early onset,Cancer risk,18
Breast cancer (estrogen-receptor negative),Breast,ER+,,Cancer risk,73
"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)",Breast,Triple Negative,,Cancer risk,5
Breast cancer (estrogen-receptor positive),Breast,ER+,,Cancer risk,3
Breast cancer (male),Breast,,Male,Cancer risk,3
Breast cancer (menopausal hormone therapy interaction),Breast,,Hormone therapy,Cancer risk modified by medication,2
Breast cancer (progesterone-receptor positive),Breast,PR+,,Cancer risk,1
Breast cancer (prognosis),Breast,,,Prognosis/Survival,5
Breast cancer (survival),Breast,,,Prognosis/Survival,9
Breast cancer and/or colorectal cancer,Multiple,,,Cancer risk,18
Breast Cancer in BRCA1 mutation carriers,Breast,,BRCAX,Cancer risk with genetic interaction,16
Breast cancer in BRCA2 mutation carriers,Breast,,BRCAX,Cancer risk with genetic interaction,6
Breast cancer in childhood cancer survivors,Breast,,Childhood,Cancer risk,5
Breast cancer in childhood cancer survivors treated with less than 10 gray radiotherapy,Breast,,Childhood,Cancer risk,3
Breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy,Breast,,Childhood,Cancer risk,3
Breast cancer specific mortality in breast cancer,Breast,,,Prognosis/Survival,47
Breast cancer specific mortality in estrogen receptor negative breast cancer,Breast,ER-,,Prognosis/Survival,28
Breast cancer specific mortality in estrogen receptor positive breast cancer,Breast,ER+,,Prognosis/Survival,22
Cancer,None,,,Cancer risk,43
Cancer (pleiotropy),None,,Pleiotropy,Cancer risk,26
Carboplatin disposition in epthelial ovarian cancer,Ovary,,?,Treatment response,18
Cardia gastric cancer,Gastric,Cardia,,Cancer risk,1
Cervical cancer,Cervix,,,Cancer risk,39
Change in LVEF in response to paclitaxel and trastuzumab in HER2+ breast cancer,Breast,HER2+,,Adverse Treatment Effect,6
Cholangiocarcinoma in primary sclerosing cholangitis,Bile duct,,,Cancer risk modified by existing condition,1
Cholangiocarcinoma in primary sclerosing cholangitis (time to event),Bile duct,,,Cancer risk modified by existing condition,3
Colon cancer,Colorectal,,,Cancer risk,2
Colorectal adenoma (advanced),Colorectal,Adenoma,,Non-cancer,30
Colorectal cancer,Colorectal,,,Cancer risk,338
Colorectal cancer (alcohol consumption interaction),Colorectal,,,Cancer risk modified by lifestyle,2
Colorectal cancer (aspirin and/or NSAID use interaction),Colorectal,,Aspirin/NSAID,Cancer risk modified by medication,2
